observation_date,ALRPIPC,AKRPIPC,AZRPIPC,ARRPIPC,CARPIPC,CORPIPC,CTRPIPC,DERPIPC,DCRPIPC,FLRPIPC,GARPIPC,HIRPIPC,IDRPIPC,ILRPIPC,INRPIPC,IARPIPC,KSRPIPC,KYRPIPC,LARPIPC,MERPIPC,MDRPIPC,MARPIPC,MIRPIPC,MNRPIPC,MSRPIPC,MORPIPC,MTRPIPC,NERPIPC,NVRPIPC,NHRPIPC,NJRPIPC,NMRPIPC,NYRPIPC,NCRPIPC,NDRPIPC,OHRPIPC,OKRPIPC,ORRPIPC,PARPIPC,RIRPIPC,SCRPIPC,SDRPIPC,TNRPIPC,TXRPIPC,UTRPIPC,VTRPIPC,VARPIPC,WARPIPC,WVRPIPC,WIRPIPC,WYRPIPC
2008-01-01,42242,51624,38967,40983,43801,46677,61514,45923,60529,43264,42027,42839,38633,48415,43045,49431,51282,41032,47048,42076,50561,54461,41948,49860,39184,47099,42420,50465,42848,48279,53849,39593,48246,45877,53507,44451,49104,42239,46902,44835,40425,53966,42800,46111,39101,45363,49384,47357,40351,46757,58234
2009-01-01,41995,50046,36641,40970,42404,44290,60539,45268,59777,41222,41967,41152,37037,45573,41599,46716,48299,40970,45972,42256,49375,54176,40151,46758,39758,45186,41648,48959,39476,48280,50491,38605,47526,44344,51491,42857,45641,39641,45727,43821,39578,51592,42858,43378,35790,44683,48503,44859,41150,45576,51850
2010-01-01,41757,53121,37167,40280,43519,44903,63476,44778,61224,42761,40688,41968,37923,45786,42305,46319,47376,40634,45712,43057,50624,55690,40984,48224,39144,43938,43077,49337,40942,49949,51788,39402,48799,42732,54688,43444,45446,40049,47012,46189,39128,51387,42936,44112,36430,46082,48534,45638,40655,45542,53752
2011-01-01,41846,54737,38404,41286,44857,45646,62986,47055,63348,43281,42370,41994,38343,46628,43987,49063,49878,41303,45363,44299,51126,56410,42715,50071,39422,44788,43677,53817,40744,51170,52191,38977,49366,42485,58830,45541,47136,40590,48345,46969,39859,55030,43814,46693,36769,47569,49646,46296,41705,47257,55956
2012-01-01,41612,55069,39287,43018,46169,46717,62600,46582,64033,43201,41427,42541,39441,48182,44692,49601,50982,41635,46373,43666,51755,57056,43523,51551,40015,45807,45704,53217,41371,52187,52502,39187,50798,44056,64491,45858,48682,40990,49314,48013,40626,52734,44337,47588,37951,47492,50701,48620,41807,47867,58962
2013-01-01,41349,53511,39214,42409,45838,47737,60178,46593,61738,42288,41340,40538,39837,48740,44362,49440,51540,41147,46138,42445,49957,56782,43131,50842,39978,45178,45180,52238,41191,51256,52103,38132,50344,42485,61509,45668,49840,41193,49036,46435,40268,52101,43976,47342,38286,47117,48671,48415,40671,47515,56737
2014-01-01,42001,55466,40285,44097,47489,50261,62126,46902,63619,43829,42964,42364,40827,50197,45287,49947,51211,42161,46963,45784,50708,57329,44084,51745,40143,45689,45334,54093,42759,52473,53239,39826,51567,43838,63085,46834,51542,43052,50321,47865,41765,53862,44714,48996,39605,49294,49587,49888,41594,48515,59526
2015-01-01,43826,56504,41957,45431,50073,51333,63352,49650,67900,45708,45160,43528,42369,52746,47429,52193,51652,44002,47125,46054,52484,60363,47212,54105,40953,47602,46695,56077,45736,53636,55171,40733,53140,45814,59811,48868,49913,44953,51672,48412,43698,56585,46534,49017,42042,49457,51296,51706,42150,50670,59579
2016-01-01,43568,54410,42582,45893,51845,50938,64060,49881,70258,46141,45908,45063,43476,52600,48117,51995,51703,44228,45906,46346,53810,59826,48003,54489,41074,48730,47037,54633,46920,53993,55861,41534,54066,46317,57035,49184,46873,46549,52718,48629,44389,56339,46685,47712,43372,50630,52225,52449,42099,50958,55723
2017-01-01,44464,54005,44298,46837,52604,52744,64666,50844,72446,48141,47162,45836,43677,53031,49153,52518,52843,44982,47178,47140,54693,61742,48940,55756,41756,48939,48252,55268,47183,54852,56574,41044,56711,47630,58566,50276,48370,46979,52468,49311,45747,56744,47823,49950,43696,49928,53823,52986,43732,51768,58147
2018-01-01,46435,55410,45693,48481,53481,56591,68094,52105,72449,49937,48285,45676,46317,54888,49295,52148,53374,45924,49184,47980,55318,63341,48952,55421,42877,49937,50184,54972,50312,57226,56752,43915,57552,48665,59398,50529,50413,47087,54503,50150,46635,55503,50871,51583,46514,50637,54027,54838,45021,52802,62947
2019-01-01,47134,56835,47239,48247,55932,57865,69073,52672,74148,52127,49761,46706,48036,56185,50331,52367,54419,46959,49921,50596,56850,65374,49308,56754,43788,50659,50992,55970,50861,59501,58777,44994,58790,50963,58838,51251,52201,48657,55470,52100,48821,57345,51869,52344,47931,52738,56458,56858,46595,53655,63607
2020-01-01,50183,58487,50269,51195,60008,59744,70057,54954,78379,53853,52199,48230,52230,58814,54036,55657,57229,50615,52708,53155,58445,68017,53583,60123,47531,54222,55730,58594,53910,61479,60963,48522,61261,54298,63006,55081,53478,52512,59101,55797,51428,62358,55019,53170,52050,54546,58253,60091,49233,57326,67929
2021-01-01,52707,57520,54232,54650,63194,64129,73110,56272,80587,56443,53857,49904,55615,60496,56891,59628,59476,53332,55297,55911,59857,72200,55526,63085,49979,56607,59336,63531,58599,66057,64045,51885,63783,55908,66709,57180,55745,55584,61028,56628,52266,68414,58368,56263,56578,56681,60190,62272,49311,59596,71298
2022-01-01,50630,58320,50856,54888,58928,64644,68981,56282,77304,54430,51597,48551,53668,58388,55333,60081,59919,50831,53109,52816,58615,67908,53426,61833,46533,55878,58869,64333,55910,59838,61622,50335,62113,54070,69224,55009,56357,51849,58632,53188,50280,68403,55608,55726,55409,54314,58889,59296,48479,57831,71818
2023-01-01,50039,58470,51373,55330,59940,65589,72040,55936,80060,55153,51429,50602,53944,60693,55174,58735,61032,50820,55317,55685,60223,69512,53915,61227,47239,56659,59807,65562,56723,62236,62623,50851,63524,54554,67549,55626,56954,53799,58727,55329,51100,68315,55861,56621,56100,57521,60869,61911,48869,57962,75015
